"SUBURB","NO.OF.ACCIDENTS","NO.OF.BICYCLISTS","NO.OF.PED","NO.OF.VEHICLES","cluster"
"NARRE WARREN",9,9,0,17,8
"ARMADALE",9,9,0,19,8
"SEDDON",11,11,0,22,8
"BAYSWATER NORTH",8,8,0,16,8
"CHADSTONE",3,3,0,7,3
"CHELTENHAM",30,30,0,59,10
"YAN YEAN",7,7,0,14,9
"CREMORNE",30,31,1,61,4
"FERNY CREEK",3,3,0,3,3
"BEACONSFIELD",4,4,0,8,9
"SUNSHINE",13,13,0,25,8
"WERRIBEE SOUTH",3,3,0,5,3
"CARRUM",8,8,1,16,5
"SPRINGVALE",17,17,0,33,2
"DANDENONG NORTH",6,6,0,12,9
"PLUMPTON",1,1,0,2,3
"ATTWOOD",1,1,0,2,3
"ASHBURTON",4,4,0,8,9
"HEATHMONT",4,4,0,8,9
"ABERFELDIE",2,2,0,4,3
"TULLAMARINE",8,8,0,16,8
"TAYLORS LAKES",2,2,0,4,3
"MONBULK",3,3,0,6,3
"AVONDALE HEIGHTS",9,9,0,18,8
"BELLFIELD",3,3,0,6,3
"LITTLE RIVER",3,3,0,6,3
"BLAIRGOWRIE",2,2,0,4,3
"KOOYONG",5,5,0,10,9
"TEMPLESTOWE",3,3,0,7,3
"BULLEEN",8,8,0,16,8
"KINGSVILLE",4,4,0,8,9
"HAWTHORN EAST",19,19,0,35,2
"RYE",13,13,0,26,8
"DIAMOND CREEK",9,11,0,20,8
"CAPEL SOUND",6,6,0,12,9
"WHEELERS HILL",7,7,0,12,9
"SOMERVILLE",6,6,0,11,9
"SPRINGVALE SOUTH",7,7,0,14,9
"KALORAMA",5,6,0,10,9
"DELAHEY",3,3,0,6,3
"ALTONA NORTH",13,13,0,26,8
"MOUNT DANDENONG",2,2,0,4,3
"BENTLEIGH EAST",16,16,0,31,2
"VIEWBANK",7,7,0,13,9
"WONGA PARK",1,1,0,2,3
"VERVALE",1,1,0,2,3
"CARRUM DOWNS",5,5,0,10,9
"WEST FOOTSCRAY",11,11,0,23,8
"IVANHOE EAST",8,8,0,16,8
"SUNSHINE NORTH",10,10,0,19,8
"GREENVALE",4,4,0,7,9
"BRAESIDE",2,2,0,4,3
"CAULFIELD",15,15,1,28,5
"BROADMEADOWS",11,11,0,22,8
"BURWOOD EAST",3,3,0,7,3
"MULGRAVE",12,12,0,24,8
"DONCASTER EAST",7,7,0,13,9
"MOUNT MARTHA",14,15,0,29,2
"KEILOR EAST",6,6,0,12,9
"OAK PARK",4,4,0,8,9
"HEALESVILLE",3,3,0,5,3
"BONEO",1,1,0,2,3
"NEWPORT",23,24,0,45,2
"LAVERTON",6,6,0,12,9
"TARNEIT",6,6,0,11,9
"MCKINNON",13,14,0,27,8
"ASPENDALE GARDENS",4,4,0,9,9
"NIDDRIE",6,6,0,12,9
"CRAIGIEBURN",11,11,0,22,8
"CLAYTON SOUTH",5,5,0,9,9
"ESSENDON NORTH",6,6,0,12,9
"CRANBOURNE NORTH",7,7,0,13,9
"MERNDA",12,15,0,26,8
"CHELSEA HEIGHTS",4,4,0,8,9
"BLACKBURN",13,13,0,27,8
"KEALBA",2,2,0,4,3
"BORONIA",16,16,0,33,2
"BOX HILL SOUTH",5,5,0,7,9
"FRANKSTON SOUTH",8,9,0,17,8
"IVANHOE",17,17,0,35,2
"WARBURTON",1,1,0,2,3
"LILYDALE",6,7,0,12,9
"KNOXFIELD",3,3,0,6,3
"HUMEVALE",1,1,0,1,3
"AIRPORT WEST",3,3,0,6,3
"SOUTH KINGSVILLE",1,1,0,2,3
"GREENSBOROUGH",13,13,0,24,8
"ALPHINGTON",18,18,0,37,2
"MONTMORENCY",5,5,0,9,9
"BOX HILL NORTH",7,7,0,15,9
"VERMONT",6,6,0,12,9
"MELTON",10,10,0,20,8
"KEILOR PARK",8,8,0,16,8
"MONT ALBERT NORTH",1,1,0,2,3
"OFFICER",2,2,0,4,3
"MITCHAM",7,7,0,14,9
"PASCOE VALE SOUTH",6,6,0,12,9
"KALLISTA",6,6,0,12,9
"BONBEACH",10,10,0,20,8
"RED HILL",2,2,0,3,3
"PARK ORCHARDS",3,3,0,6,3
"YARRA GLEN",2,3,0,4,3
"MICKLEHAM",2,2,0,4,3
"TEMPLESTOWE LOWER",7,7,1,12,5
"RINGWOOD EAST",5,5,0,10,9
"LYNBROOK",1,1,0,2,3
"DALLAS",1,1,0,2,3
"VERMONT SOUTH",6,6,0,12,9
"ASHWOOD",6,6,0,11,9
"KEW EAST",6,6,0,11,9
"CLYDE",1,1,0,2,3
"SEAHOLME",6,6,0,12,9
"WATSONIA",5,5,0,10,9
"YARRA JUNCTION",1,1,0,1,3
"BERWICK",16,16,0,32,2
"HAMPTON PARK",5,5,0,10,9
"BROOKLYN",5,5,0,10,9
"KILSYTH SOUTH",2,2,0,4,3
"ESSENDON WEST",1,1,0,2,3
"MCCRAE",3,3,0,6,3
"SOUTH MORANG",15,15,0,30,2
"MURRUMBEENA",9,9,0,17,8
"DONVALE",2,2,0,4,3
"HURSTBRIDGE",2,2,0,4,3
"WATSONIA NORTH",4,4,0,7,9
"KINGSBURY",5,5,0,10,9
"OAKLEIGH EAST",5,5,0,10,9
"CHRISTMAS HILLS",2,2,0,4,3
"TREMONT",4,4,0,8,9
"TRUGANINA",5,5,0,8,9
"UPPER FERNTREE GULLY",1,1,0,2,3
"RESEARCH",4,4,0,7,9
"HEIDELBERG WEST",9,9,0,18,8
"EUMEMMERRING",1,1,0,2,3
"ALBANVALE",2,2,0,3,3
"PORTSEA",6,7,0,12,9
"SUNSHINE WEST",6,6,0,12,9
"KILSYTH",3,3,0,6,3
"SCORESBY",1,1,0,2,3
"THE BASIN",9,9,0,17,8
"HUNTINGDALE",3,3,0,6,3
"EYNESBURY",1,1,0,2,3
"FOREST HILL",5,5,0,10,9
"CALDER PARK",1,1,0,2,3
"CAIRNLEA",2,2,0,4,3
"MOOROODUC",2,2,0,4,3
"CRANBOURNE",14,14,0,28,8
"WYNDHAM VALE",4,4,0,8,9
"COBBLEBANK",1,1,0,2,3
"KINGS PARK",2,2,0,4,3
"FERNTREE GULLY",7,7,0,13,9
"FRANKSTON NORTH",4,4,0,8,9
"RAVENHALL",1,1,0,2,3
"LAVERTON NORTH",6,6,0,12,9
"ST ANDREWS",3,3,0,3,3
"TAYLORS HILL",2,2,0,4,3
"YALLAMBIE",3,3,0,6,3
"WANTIRNA",3,3,0,5,3
"SKYE",2,2,0,4,3
"RINGWOOD NORTH",1,1,0,2,3
"LOWER PLENTY",4,5,0,9,9
"JACANA",1,1,0,2,3
"COCOROC",1,1,0,2,3
"DONCASTER",7,9,0,16,8
"MELTON SOUTH",1,1,0,2,3
"CRANBOURNE EAST",1,1,0,2,3
"MANOR LAKES",1,1,0,2,3
"GLADSTONE PARK",4,4,0,7,9
"WOODSTOCK",1,1,0,2,3
"MONT ALBERT",9,9,0,15,8
"EAGLEMONT",3,3,0,6,3
"CROYDON SOUTH",2,2,0,4,3
"CRANBOURNE WEST",1,1,0,2,3
"SYDENHAM",2,2,0,4,3
"WATTLE GLEN",1,1,0,2,3
