SUBURB,NO OF ACCIDENTS,NO OF BICYCLISTS,NO OF PED,NO OF VEHICLES
TEMPLESTOWE,3,3,0,7
BULLEEN,8,8,0,16
KINGSVILLE,4,4,0,8
HAWTHORN EAST,19,19,0,35
RYE,13,13,0,26
DIAMOND CREEK,9,11,0,20
CAPEL SOUND,6,6,0,12
WHEELERS HILL,7,7,0,12
SOMERVILLE,6,6,0,11
SPRINGVALE SOUTH,7,7,0,14
KALORAMA,5,6,0,10
DELAHEY,3,3,0,6
ALTONA NORTH,13,13,0,26
MOUNT DANDENONG,2,2,0,4
BENTLEIGH EAST,16,16,0,31
VIEWBANK,7,7,0,13
WONGA PARK,1,1,0,2
VERVALE,1,1,0,2
CARRUM DOWNS,5,5,0,10
WEST FOOTSCRAY,11,11,0,23
IVANHOE EAST,8,8,0,16
SUNSHINE NORTH,10,10,0,19
GREENVALE,4,4,0,7
BRAESIDE,2,2,0,4
CAULFIELD,15,15,1,28
BROADMEADOWS,11,11,0,22
BURWOOD EAST,3,3,0,7
MULGRAVE,12,12,0,24
DONCASTER EAST,7,7,0,13
MOUNT MARTHA,14,15,0,29
KEILOR EAST,6,6,0,12
OAK PARK,4,4,0,8
HEALESVILLE,3,3,0,5
BONEO,1,1,0,2
NEWPORT,23,24,0,45
LAVERTON,6,6,0,12
TARNEIT,6,6,0,11
MCKINNON,13,14,0,27
ASPENDALE GARDENS,4,4,0,9
NIDDRIE,6,6,0,12
CRAIGIEBURN,11,11,0,22
CLAYTON SOUTH,5,5,0,9
ESSENDON NORTH,6,6,0,12
CRANBOURNE NORTH,7,7,0,13
MERNDA,12,15,0,26
CHELSEA HEIGHTS,4,4,0,8
BLACKBURN,13,13,0,27
KEALBA,2,2,0,4
BORONIA,16,16,0,33
BOX HILL SOUTH,5,5,0,7
FRANKSTON SOUTH,8,9,0,17
IVANHOE,17,17,0,35
WARBURTON,1,1,0,2
LILYDALE,6,7,0,12
KNOXFIELD,3,3,0,6
HUMEVALE,1,1,0,1
AIRPORT WEST,3,3,0,6
SOUTH KINGSVILLE,1,1,0,2
GREENSBOROUGH,13,13,0,24
ALPHINGTON,18,18,0,37
MONTMORENCY,5,5,0,9
BOX HILL NORTH,7,7,0,15
VERMONT,6,6,0,12
MELTON,10,10,0,20
KEILOR PARK,8,8,0,16
MONT ALBERT NORTH,1,1,0,2
OFFICER,2,2,0,4
MITCHAM,7,7,0,14
PASCOE VALE SOUTH,6,6,0,12
KALLISTA,6,6,0,12
BONBEACH,10,10,0,20
RED HILL,2,2,0,3
PARK ORCHARDS,3,3,0,6
YARRA GLEN,2,3,0,4
MICKLEHAM,2,2,0,4
TEMPLESTOWE LOWER,7,7,1,12
RINGWOOD EAST,5,5,0,10
LYNBROOK,1,1,0,2
DALLAS,1,1,0,2
VERMONT SOUTH,6,6,0,12
ASHWOOD,6,6,0,11
KEW EAST,6,6,0,11
CLYDE,1,1,0,2
SEAHOLME,6,6,0,12
WATSONIA,5,5,0,10
YARRA JUNCTION,1,1,0,1
BERWICK,16,16,0,32
HAMPTON PARK,5,5,0,10
BROOKLYN,5,5,0,10
KILSYTH SOUTH,2,2,0,4
ESSENDON WEST,1,1,0,2
MCCRAE,3,3,0,6
SOUTH MORANG,15,15,0,30
MURRUMBEENA,9,9,0,17
DONVALE,2,2,0,4
HURSTBRIDGE,2,2,0,4
WATSONIA NORTH,4,4,0,7
KINGSBURY,5,5,0,10
OAKLEIGH EAST,5,5,0,10
CHRISTMAS HILLS,2,2,0,4
